类型,id,标签,回答id,回答点赞数,回答评论数,回答感谢数,回答观看数,回答创建时间,问题id,问题题目,问题回答数,问题关注数,评论数,创建时间
answer,12_1574824946.178,二次元,734170020,4859,656,564,1120728,1561974232,62972819,你们见过最好看的 coser 长什么样？,1607,30094,30,1501051575
answer,13_1574824946.45,生活,629465796,46827,1594,12491,4517999,1553236233,63894266,生活中有哪些残忍的真相？,2505,57217,50,1502701040
answer,14_1574824946.791,高考,344182099,25739,2465,5072,1575771,1521306846,266837866,你们是怎么考上 985 的，每科多少分？,3527,28092,64,1518015871
answer,15_1574824946.795,网恋,792191898,8948,1938,965,1261527,1566029684,270608371,网恋奔现失败是种什么体验？,5751,28491,122,1522496497
answer,17_1574824946.818,健康,868188823,884,246,235,329706,1571893264,27128132,如何有效地戒糖？,500,19048,33,1418828372
answer,12_1574824946.115,手机,848373860,1686,0,142,629377,1570438678,29016679,华为在欧洲真有这么火吗？,636,3814,19,1427206740
answer,13_1574824946.753,生活,911075017,4,2,1,4479,1574757539,294213474,女生有男朋友之后才知道的事情有哪些？,14628,129885,96,1536648965
answer,14_1574824946.849,节食,898975107,95,28,19,70599,1574055414,297855838,怎样控制食欲？,919,15872,16,1539091167
answer,16_1574824946.675,生活,134662126,5968,121,2332,310724,1481036744,24245141,有哪些心理学小技巧可以运用在生活中？,437,117434,27,1403496035
answer,17_1574824946.998,香港,862814887,612,40,46,118292,1571484882,322851671,作为一个香港人来内地是什么体验？,213,3686,35,1556946581
answer,12_1574824947.922,医生,834440489,295573,13965,70302,6789053,1569326565,27867581,北京协和医院有多牛？,3062,76310,128,1422545256
answer,13_1574824947.467,奢侈品,794543778,11315,1522,3812,2273833,1566201790,25551786,女孩收入达到多高时可以购买奢侈品？,4759,50435,151,1411805868
answer,14_1574824947.685,创业,847292350,7697,883,3322,1979586,1570358284,20058902,怎么快速合法地挣到一百万？,519,12817,44,1328875093
